_,trials,time,gpu_load,gpu_free_mem,gpu_used_mem,loss,dataset
,0,22.70883918,0.705454545,18152,6103,0.004310963,room-utd-dark-poly
,1,22.43177247,0.680909091,18300.36364,5954.636364,0.004050697,room-utd-dark-poly
,2,22.59433508,0.724545455,18155.09091,6099.909091,0.003994853,room-utd-dark-poly
,3,22.9326632,0.486363636,18701.45455,5553.545455,0.004449415,room-utd-dark-poly
,4,22.71989274,0.683636364,18261.27273,5993.727273,0.003615229,room-utd-dark-poly
,,,,,,,room-utd-dark-poly
avg,,22.67750053,0.656181818,18314.03636,5940.963636,0.004084231,room-utd-dark-poly
std,,0.183838224,0.096572244,226.1543903,226.1543903,0.000321653,room-utd-dark-poly
min,,22.43177247,0.486363636,18152,5553.545455,0.003615229,room-utd-dark-poly
max,,22.9326632,0.724545455,18701.45455,6103,0.004449415,room-utd-dark-poly
,0,28.69997144,0.714545455,18483.81818,5771.181818,0.006201288,room-utd-lit-poly
,1,28.4869802,0.729090909,18363.27273,5891.727273,0.007072983,room-utd-lit-poly
,2,29.48809552,0.735454545,18363.27273,5891.727273,0.007015673,room-utd-lit-poly
,3,28.84463549,0.755454545,18363.27273,5891.727273,0.006780335,room-utd-lit-poly
,4,28.78065014,0.733636364,18363.27273,5891.727273,0.00696392,room-utd-lit-poly
,,,,,,,room-utd-lit-poly
avg,,28.86006656,0.733636364,18387.38182,5867.618182,0.00680684,room-utd-lit-poly
std,,0.37609485,0.014700874,53.90956615,53.90956615,0.000355849,room-utd-lit-poly
min,,28.4869802,0.714545455,18363.27273,5771.181818,0.006201288,room-utd-lit-poly
max,,29.48809552,0.755454545,18483.81818,5891.727273,0.007072983,room-utd-lit-poly
,0,34.31262255,0.461818182,18008.36364,6246.636364,0.011638875,plinth-utd-poly
,1,33.63834167,0.507272727,17875.27273,6379.727273,0.010572081,plinth-utd-poly
,2,33.31548285,0.461818182,18014.90909,6240.090909,0.00881409,plinth-utd-poly
,3,34.32898617,0.440909091,18010.18182,6244.818182,0.009546158,plinth-utd-poly
,4,33.83534193,0.445454545,18016,6239,0.008527882,plinth-utd-poly
,,,,,,,plinth-utd-poly
avg,,33.88615503,0.463454545,17984.94545,6270.054545,0.009819817,plinth-utd-poly
std,,0.43807366,0.026256837,61.39136074,61.39136074,0.001287473,plinth-utd-poly
min,,33.31548285,0.440909091,17875.27273,6239,0.008527882,plinth-utd-poly
max,,34.32898617,0.507272727,18016,6379.727273,0.011638875,plinth-utd-poly
,0,25.1644876,0.712727273,18609.45455,5645.545455,0.002092761,piano-utd-poly
,1,25.05131006,0.76,18609.27273,5645.727273,0.002384218,piano-utd-poly
,2,25.09483695,0.778181818,18609.27273,5645.727273,0.002343008,piano-utd-poly
,3,24.96508551,0.763636364,18609.27273,5645.727273,0.002392628,piano-utd-poly
,4,24.80969334,0.774545455,18609.27273,5645.727273,0.002326861,piano-utd-poly
,,,,,,,piano-utd-poly
avg,,25.01708269,0.757818182,18609.30909,5645.690909,0.002307895,piano-utd-poly
std,,0.13661945,0.026297723,0.081311563,0.081311563,0.000123369,piano-utd-poly
min,,24.80969334,0.712727273,18609.27273,5645.545455,0.002092761,piano-utd-poly
max,,25.1644876,0.778181818,18609.45455,5645.727273,0.002392628,piano-utd-poly
,0,25.83464503,0.785454545,18603.45455,5651.545455,0.004451985,gc-utd-poly
,1,26.96829486,0.764545455,18603.45455,5651.545455,0.005016215,gc-utd-poly
,2,26.85022068,0.734545455,18603.45455,5651.545455,0.006172996,gc-utd-poly
,3,26.11986613,0.755454545,18603.45455,5651.545455,0.004675433,gc-utd-poly
,4,26.34326458,0.75,18603.45455,5651.545455,0.00493527,gc-utd-poly
,,,,,,,gc-utd-poly
avg,,26.42325826,0.758,18603.45455,5651.545455,0.00505038,gc-utd-poly
std,,0.480695617,0.018822793,0,0,0.000665835,gc-utd-poly
min,,25.83464503,0.734545455,18603.45455,5651.545455,0.004451985,gc-utd-poly
max,,26.96829486,0.785454545,18603.45455,5651.545455,0.006172996,gc-utd-poly
,0,28.86981297,0.446363636,17880.90909,6374.090909,0.013630329,lovejack-utd-kiri
,1,28.97172666,0.455454545,17881.63636,6373.363636,0.012875342,lovejack-utd-kiri
,2,29.00219512,0.454545455,17880.18182,6374.818182,0.012139003,lovejack-utd-kiri
,3,29.06548905,0.46,17882.18182,6372.818182,0.012763103,lovejack-utd-kiri
,4,28.97765684,0.471818182,17894.72727,6360.272727,0.012106142,lovejack-utd-kiri
,,,,,,,lovejack-utd-kiri
avg,,28.97737613,0.457636364,17883.92727,6371.072727,0.012702784,lovejack-utd-kiri
std,,0.070678319,0.009328708,6.084256883,6.084256883,0.000626016,lovejack-utd-kiri
min,,28.86981297,0.446363636,17880.18182,6360.272727,0.012106142,lovejack-utd-kiri
max,,29.06548905,0.471818182,17894.72727,6374.818182,0.013630329,lovejack-utd-kiri
